DATE,I01,I02,I03,I04,I05,I06,I07,I08,I09,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39,I40,I41,I42,I43,I44,I45,I46,I47,I48,I49,I50,I51,I52,I53,I54,I55,I56,I57,I58,I59,I60,I61,I62,I63,I64,I65,I66,I67,I68,I69,I70,I71,I72,I73,I74,I75,I76,I77,I78,I79,I80,I81,I82,I83,I84,I85,I86,I87,I88,I89,I90,I91,I92,I93,I94,I95,I96
6/10/2015,118.491,114.654,112.494,106.255,103.513,100.269,98.429,95.886,92.3,92.013,89.348,87.411,84.872,87.279,84.794,82.496,82.128,81.832,82.67,82.384,83.193,87.355,87.783,93.488,93.123,96.094,99.582,102.623,102.304,104.494,102.318,106.859,108.13,110.017,109.881,114.616,115.179,112.537,114.952,118.033,116.759,120.518,121.105,124.933,127.003,128.633,129.395,130.156,130.449,129.959,127.479,131.652,134.685,137.347,135.516,133.133,137.425,141.212,142.879,144.974,144.371,141.807,147.388,150.906,145.599,147.296,147.932,147.476,150.029,149.456,144.696,156.148,156.052,157.312,156.131,157.449,157.476,156.253,156.978,154.512,155.526,159.917,163.152,167.558,160.031,160.664,160.341,155.036,149.82,143.92,143.829,137.285,129.87,123.025,118.309,110.731
6/11/2015,114.592,107.336,102.545,99.53,97.142,94.73,91.583,90.354,88.656,85.869,84.333,83.186,84.58,81.537,81.42,80.638,80.041,80.56,79.817,78.561,80.308,80.121,83.759,85.417,89.951,92.611,95.186,97.734,99.052,101.75,104.106,105.893,107.726,108.527,109.612,111.589,110.351,110.266,110.298,117.741,114.698,118.672,115.204,120.075,123.117,124.596,122.552,123.123,127.1,125.191,127.176,131.495,128.28,131.726,133.981,136.891,135.981,141.627,148.136,149.488,149.297,149.986,156.298,155.126,163.611,162.918,169.358,172.455,175.988,176.188,176.736,168.521,172.377,169.416,168.777,166.389,167.114,168.538,170.241,168.729,168.619,173.158,175.108,171.985,169.365,166.957,164.366,157.384,156.438,147.421,144.565,144.79,135.35,130.5,121.651,118.179
6/12/2015,113.122,106.599,101.675,99.026,97.549,91.775,91.639,91.05,87.036,87.448,84.008,81.474,82.529,80.842,80.509,79.293,79.602,78.86,81.426,79.866,80.071,82.859,82.128,83.489,93.41,91.425,94.044,97.863,102.253,108.103,109.441,108.312,110.144,107.52,108.787,114.909,112.899,120.179,120.425,120.973,116.698,119.538,123.329,126.951,123.865,128.232,132.449,133.851,135.982,134.642,139.763,137.466,137.173,140.836,139.485,139.987,148.505,146.902,153.045,158.207,159.872,162.341,161.591,165.237,152.874,155.61,152.662,155.461,154.915,151.264,155.608,161.524,158.056,157.184,157.149,153.027,154.27,148.925,146.626,147.222,152.991,149.749,154.92,151.585,153.207,148.988,152.985,149.282,144.166,143.266,139.175,134.566,131.688,128.73,118.855,113.309
6/13/2015,111.996,108.778,106.912,113.928,105.111,103.501,97.81,95.504,95.655,94.9,90.784,90.755,88.241,84.588,83.387,85.138,84.335,84.823,83.88,84.879,84.143,82.397,85.314,85.047,87.604,89.165,85.926,90.575,96.614,98.413,98.407,101.758,108.3,114.843,117.046,117.311,116.364,122.699,122.444,126.097,130.088,132.264,130.419,128.724,132.865,140.41,134.29,136.524,134.561,134.04,139.541,137.954,143.078,142.826,142.997,144.333,140.532,142.611,142.251,143.436,141.845,142.668,144.361,146.146,150.036,151.122,151.459,151.399,159.944,160.096,158.752,159.994,159.475,157.922,156.594,152.662,150.616,150.138,151.794,153.374,159.168,162.359,171.864,172.282,169.461,165.211,165.563,157.829,152.936,148.919,149.606,143.596,142.298,138.76,133.654,125.233
6/14/2015,114.293,108.711,105.73,99.258,97.936,92.291,90.074,89.787,88.972,85.606,83.862,81.506,80.155,80.119,80.106,79.029,78.113,77.566,79.046,75.19,78.538,77.507,77.267,77.145,80.876,80.833,81.959,84.13,82.872,89.601,93.625,95.356,93.482,97.192,99.639,99.658,104.685,111.011,112.362,110.814,116.837,116.825,120.729,122.126,121.697,129.729,123.898,128.238,129.067,132.175,132.804,135.065,142.855,142.169,144.596,143.516,153.534,156.271,159.717,163.581,165.164,169.835,175.12,177.625,173.373,179.436,188.361,189.447,187.755,187.492,189.025,186.413,187.408,184.689,186.039,196.259,186.371,188.338,186.698,182.517,184.781,183.805,187.805,188.579,183.54,174.351,169.594,166.77,162.226,155.7,150.924,144,139.428,129.366,119.481,112.92
6/15/2015,109.452,105.533,102.488,97.152,93.446,91.349,88.68,87.013,85.016,84.612,82.755,80.308,80.342,78.771,78.959,77.026,76.358,76.394,77.191,77.893,77.941,79.691,83.142,84.256,88.897,89.835,95.297,95.85,101.118,104.078,100.973,99.703,106.012,110.954,109.67,107.95,111.075,111.482,114.906,114.818,116.391,121.498,124.066,125.43,128.192,133.394,137.767,141.37,148.514,151.699,158.385,165.038,163.57,168.516,175.259,180.872,185.273,194.502,198.754,202.419,207.622,217.796,223.292,218.816,222.555,229.619,240.918,233.006,238.804,233.63,238.812,239.876,248.3,245.947,242.217,235.456,234.87,231.281,223.102,218.96,219.931,220.617,223.015,218.479,216.056,207.124,208.08,198.432,191.003,183.846,175.818,166.501,156.992,150.796,142.459,134.229
6/16/2015,122.64,120.119,109.649,106.32,104.905,101.628,95.888,92.774,90.569,91.431,87.413,86.835,86.16,85.548,86.859,83.881,80.247,80.475,80.633,81.75,82.44,84.292,86.167,86.745,90.747,98.538,99.663,99.796,102.582,111.102,113.475,113.565,113.543,114.594,112.776,113.777,114.763,116.413,121.779,128.225,130.399,133.904,134.963,137.373,142.895,146.313,153.674,152.54,164.109,166.565,171.56,178.514,186.573,189.827,196.211,193.767,203.482,205.556,212.87,219.089,223.535,222.899,229.934,223.357,225.18,227.924,239.247,239.507,241.145,238.055,235.104,242.765,248.212,246.983,241.113,237.876,234.343,228.707,217.433,219.003,220.013,217.347,212.492,209.804,214.324,213.754,201.462,199.159,193.196,181.41,179.439,174.08,163.004,152.248,143.441,134.642
6/17/2015,0,0,0,119.845,113.685,109.467,103.704,98.768,96.045,96.352,90.731,89.83,89.901,88.434,86.45,85.394,83.713,85.951,87.745,85.588,89.138,88.69,89.194,91.846,95.246,100.509,104.068,104.59,105.187,107.991,113.242,114.121,116.701,119.711,122.789,120.904,124.221,126.295,128.491,130.361,133.401,136.829,143.585,144.141,151.858,157.889,161.159,163.282,168.371,175.892,185.921,188.846,199.555,201.379,210.906,216.579,220.053,216.529,220.358,223.914,232.553,234.897,238.023,235.283,243.052,246.516,247.992,252.533,254.166,256.96,253.677,255.432,257.84,257.629,254.86,256.929,258.884,240.678,242.831,242.136,241.064,239.611,241.078,241.568,231.401,224.214,219.024,216.203,208.332,200.035,187.738,185.314,174.348,163.527,155.117,146.017
6/18/2015,134.031,125.522,122.676,113.308,110.735,108.423,105.28,103.702,98.513,95.985,93.704,90.748,91.671,92.883,88.056,88.884,88.605,86.248,84.947,84.035,87.496,84.906,86.72,88.452,94.572,96.451,98.813,102.016,103.054,108.076,110.524,114.609,110.795,113.991,116.02,120.232,120.28,119.661,123.605,124.728,128.953,132.599,136.319,140.493,145.417,153.306,157.765,160.676,163.798,170.398,167.924,177.811,191.701,200.982,205.591,206.815,209.52,223.548,236.295,239.354,245.131,247.793,252.072,254.383,244.994,249.618,253.149,259.402,247.488,255.418,254.236,253.363,259.051,267.629,254.653,251.158,247.835,233.702,228.965,231.306,232.152,228.925,232.748,230.002,225.815,220.382,216.064,215.873,206.533,199.015,190.002,185.044,171.369,164.936,152.441,145.279
6/19/2015,137.631,128.173,120.464,116.215,111.259,106.663,103.159,98.464,97.499,94.916,93.025,89.774,89.103,90.76,86.92,87.246,85.758,83.693,85.183,84.86,89.376,90.015,87.929,89.687,96.974,98.001,100.437,101.478,103.885,106.904,108.992,108.726,112.173,116.467,115.245,121.972,123.378,126.254,129.53,129.685,137.899,142.773,146.723,153.874,164.02,170.353,179.561,182.585,184.518,187.267,196.416,195.049,207.87,210.016,218.772,228.592,229.299,235.769,243.548,245.479,255.307,257.011,259.787,267.876,258.619,269.919,271.348,284.913,286.922,287.056,285.403,281.862,281.644,281.196,269.975,270.686,269.491,269.728,257.956,252.368,245.353,253.154,247.005,248.009,235.125,233.515,228.827,222.057,216.167,214.898,209.027,196.091,188.969,177.285,175.665,162.956
